"","Resultado_partida","P_time1","P_time2","NV_time1","NV_time2","NE_time1","NE_time2","ND_time1","ND_time2","NVC_time1","NEC_time1","NDC_time1","NVF_time1","NEF_time1","NDF_time1","NVC_time2","NEC_time2","NDC_time2","NVF_time2","NEF_time2","NDF_time2","GF_time1","GF_time2","GC_time1","GC_time2","SG_time1","SG_time2"
"362",1,61,34,18,9,7,7,11,20,10,3,5,8,4,6,4,4,10,5,3,10,51,36,31,54,20,-18
"363",2,39,48,9,13,12,9,15,14,4,9,5,5,3,10,7,5,6,6,4,8,27,42,47,42,-20,0
"364",1,71,50,21,13,8,11,7,12,12,4,2,9,4,5,6,4,8,7,7,4,48,46,27,44,21,2
"365",0,56,50,15,13,11,11,10,12,9,7,2,6,4,8,7,7,4,6,4,8,45,37,36,46,9,-9
"366",0,43,46,11,12,10,10,15,14,7,5,6,4,5,9,9,7,2,3,3,12,40,45,47,47,-7,-2
"367",0,39,40,10,10,9,10,17,16,9,3,6,1,6,11,3,5,10,7,5,6,34,46,47,54,-13,-8
"368",0,53,59,14,16,11,11,11,9,10,6,2,4,5,9,12,3,3,4,8,6,46,39,35,30,11,9
"369",0,49,48,13,13,10,9,13,14,10,4,4,3,6,9,8,3,7,5,6,7,49,44,46,48,3,-4
"370",2,60,52,18,14,6,10,12,12,11,3,4,7,3,8,9,2,7,5,8,5,59,43,42,38,17,5
"371",1,52,56,14,15,10,11,13,11,9,2,7,5,8,6,9,7,3,6,4,8,43,45,40,37,3,8
"372",2,53,39,14,10,11,9,12,18,7,7,4,7,4,8,9,3,7,1,6,11,38,36,46,50,-8,-14
"373",1,62,42,17,10,11,12,9,15,12,3,3,5,8,6,5,9,5,5,3,10,41,28,31,47,10,-19
"374",1,49,49,13,13,10,10,14,14,9,7,2,4,3,12,10,4,5,3,6,9,47,49,48,47,-1,2
"375",2,51,62,13,18,12,8,12,11,6,4,8,7,8,4,10,4,5,8,4,6,48,52,46,32,2,20
"376",2,48,63,13,19,9,6,15,12,7,5,6,6,4,9,12,3,4,7,3,8,42,61,43,42,-1,19
"377",2,42,72,11,21,9,9,17,7,6,7,5,5,2,12,12,5,2,9,4,5,45,50,58,29,-13,21
"378",0,43,53,11,14,10,11,16,12,3,5,10,8,5,6,10,6,3,4,5,9,49,47,56,37,-7,10
"379",1,35,46,9,11,8,13,20,13,4,4,10,5,4,10,7,6,6,4,7,7,37,49,55,52,-18,-3
"380",2,51,43,14,11,9,10,14,16,8,3,7,6,6,7,7,5,7,4,5,9,45,41,48,49,-3,-8
